Filename,Sample ID,Mass (g),Sample type,Unique ID,Site,Cyromazine,Acephate,Dinotefuran,Thiabendazole,Thiamethoxam,Clothianidin,Mevinphos,Imidacloprid,Acetamiprid,Flupyradifurone,Thiacloprid,Sulfoxaflor,Tebuthiuron,Prometon,Cyanazine,Thiophanate-methyl,Ametryn,Methoprotryne,Bendiocarb,Malaoxon,Carbofuran,Pyrimethanil,Carbaryl,Fluometuron,Atrazine,Hydroxychlorothalonil ,Sulfentrazone,Diuron,Metalaxyl,Cyantraniliprole,Metobromuron,Prometryn,Terbutryn,Metazachlor,Clomazone,Propazine,Chlorantraniliprole,Methiocarb,Phenmedipham,Fluazifop,Flumioxazin,Fludioxonil,Cyprodinil,Spirotetramat,Phosmet,Bromuconazole,Azoxystrobin,Myclobutanil,Fenamidone,Triadimefon,Boscalid,Fluxapyroxad,Mandipropamid,Fenhexamid,Napropamide,Fluopicolide,Tetraconazole,Tebuconazole,Spinosad,Fluopyram,Methoxyfenozide,Diflubenzuron,Fenbuconazole,Metolachlor,Metconazole,Flufenacet,Dimoxystrobin,Propiconazole,Fluoxastrobin,Fumagillin,Tebufenozide,Spinetoram,Triflumizole,Fipronil,Picoxystrobin,Difenoconazole,Penthiopyrad,Coumaphos,Pyraclostrobin,Thiobencarb,Hexaflumuron,Profenophos,Cyflufenamid,Indoxacarb,Trifloxystrobin,Piperonyl butoxide,Tetramethrin,Fluazinam,Chlorpyrifos,Fenpyroximate,Amitraz,Avermectin B1a,Number of Pesticides Per Sample,ppb
2020nov10_USDA_fungicides_2019_sample_064,Wax_13,5.07,Bumble bee wax,,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.5,96.3,0,0.7,10,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,3.5,0,0,0,0.3,0,0,0,0,9,0.3,0,0,0,0,2,0,0.6,0.6,0,1,1.6,0,0,0,2,0,0,0,0,0,0,0.2,33.4,0,0,16.1,0,0,0,0,7.3,51.3,1.2,0,0,0,0,0,0,22,240
2020nov10_USDA_fungicides_2019_sample_180,Pollen_16,4.05,Honey bee pollen,,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,0,0.8,11.5,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,39.5,0,0,0,0.2,0,0,0,0,138.6,0,0,0,0,0,0,0,2.1,0,0,1.3,1.6,0,0,0,0,0,0,0,0,0,0,0,146.4,0,0,150.6,0,0,0,0,3,13.6,0,0,0,68.8,0,0,0,16,581.3
2020nov10_USDA_fungicides_2019_sample_194,Nectar_09,5,Nectar,,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,6,4.1
2020nov10_USDA_fungicides_2019_sample_221,Apple flower_15,1.75,Apple flower,,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,55.7,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,6,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,164.2,0,0,7.8,0,0,0,0,0,14.1,0,0,0,0,0,0,0,11,263.4
2020nov10_USDA_fungicides_2019_sample_222,Apple flower_16,2.16,Apple flower,,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,57.8,0,0,0,3.1,0,0,0,0,6.8,0,0,0,0,0,0,0,2.9,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,74.2,0,0,8,0,0,0,0,0,9.2,0,0,0,0,0,0,0,11,165.6
2020nov10_USDA_fungicides_2019_sample_288,Dandelion flower_39,2.17,Dandelion flower,,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,5,0,0,0,0.2,0,0,0,0,4.4,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2.1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,10,23.2
2020nov10_USDA_fungicides_2019_sample_289,Dandelion flower_40,1.98,Dandelion flower,,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,5.7,0,0,0,0.2,0,0,0,0,6.2,0,0,0,0,0,0,0,1.9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,5.9,0,0,0,0,0,2.7,0,0,0,0,0,0,0,10,40.1
2020nov10_USDA_fungicides_2019_sample_033,Mason bee pollen_17,0.506,Mason bee pollen provision,,Vanderwalle,0,0,0,0,0.6,0,0,0,0,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0.3,15.8,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,1.6,4.1,0,0,0,0.2,0,0,0,0,7.5,0,0,0,0,0,0,0,1.1,0,0,0.6,5.2,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,6.4,0,0,0,0,0,12.1,0,0,0,0,0,0,0,17,78
2020nov10_USDA_fungicides_2019_sample_048,Bumblebee Queen_14,0.699,Bombus impatiens queen,V521.PMBI1,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.1,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0.8,0,0,0,0,0,1.1,0,0,0,0,0,0,0,9,11.4
2020nov10_USDA_fungicides_2019_sample_103,Bumblebee worker_18,0.102,Bombus impatiens worker,,Vanderwalle,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,3,2.3
2020nov10_USDA_fungicides_2019_sample_115,Honeybee worker_09,0.128,Apis mellifera worker,,Vanderwalle,0,0,0,0,39.1,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,7,55.8
2020nov10_USDA_fungicides_2019_sample_143,Small Andrena_20,0.049,Andrena sp.,V521.PMAS1,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,1.3,0,0,0,0,0,1.7,0,0,0,0,0,0,0,6,19.5
2020nov10_USDA_fungicides_2019_sample_161,Large Andrena_37,0.089,Andrena (Melandrena),V521.PMAM1,Vanderwalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,2.9,0,0,0,0,0,1.4,0,0,0,0,0,0,0,6,15.9
2020nov10_USDA_fungicides_2019_sample_058,Wax_07,5.01,Bumble bee wax,,WestHaven,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.5,0.8,0,0.8,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.3,0,0,0,0,0,2.7,0.1,0.5,0,0,0.8,0,0,0,0,0,0,0,0.5,0,0,0.4,0.4,0,0,1.1,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0,17,11.3
2020nov10_USDA_fungicides_2019_sample_182,Pollen_18,3.03,Honey bee pollen,,WestHaven,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.5,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.5,0.8,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,9,6.2
2020nov10_USDA_fungicides_2019_sample_200,Nectar_15,5.02,Nectar,,WestHaven,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
2020nov10_USDA_fungicides_2019_sample_244,Apple flower_37,2.33,Apple flower,,WestHaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9
2020nov10_USDA_fungicides_2019_sample_245,Apple flower_38,1.59,Apple flower,,WestHaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
